8.85509	1.78467	81.60575
3.50878	0.24911	12.37785
2.28037	1.19024	6.61372
9.41683	9.64704	181.74870
3.73426	0.31999	14.04443
1.59638	8.34712	72.22988
1.86461	0.14393	3.49838
3.71553	8.32748	83.14898
3.77357	2.83549	22.28806
6.18971	6.60831	81.98523
5.21717	1.24636	28.77035
9.81908	5.11817	122.60739
6.37481	4.09673	57.41222
9.35354	5.92002	122.52997
2.77080	5.83111	41.67859
9.53589	5.96050	126.45314
0.83613	7.10136	51.12449
4.08043	7.78616	77.26766
4.39655	6.57617	62.57488
4.99059	5.12667	51.18171
5.95899	3.19866	45.73215
5.05429	3.67166	39.03467
7.84728	8.09088	127.03501
7.28562	9.18122	137.38179
0.41510	6.58913	43.58031
0.73185	3.30267	11.44938
8.52250	1.74218	75.66957
5.32893	0.17563	28.42921
2.57215	7.94686	69.76861
9.77008	1.01872	96.48345
3.43872	4.08259	28.48960
0.11879	7.62781	58.20113
2.31781	9.63556	98.21771
6.73678	6.60966	89.06316
4.61119	7.58017	78.72140
2.86754	9.30235	94.75118
9.10762	4.58000	103.93398
7.01602	8.70334	124.96499
0.28933	7.57968	57.53154
8.63993	6.96907	123.22616
9.88712	5.48937	127.89642
1.63640	8.17353	69.47739
4.71383	9.84330	119.10248
1.52384	7.45737	57.93245
5.75205	7.90338	95.55399
0.87215	1.28683	2.42634
1.86021	2.88020	11.75159
2.81748	3.72164	21.79188
8.22698	0.45735	67.89304
1.62291	3.29566	13.50323
3.75422	1.67841	16.91085
4.03794	9.98076	115.91265
5.37449	4.70588	51.02336
6.38431	5.99120	76.64630
7.45433	3.13391	65.38320
1.95228	8.67950	79.15043
0.09713	7.18099	51.57043
4.87438	0.62697	24.15861
9.85126	4.75753	119.68726
9.73451	7.30623	148.13878
8.84856	8.78124	155.40747
8.76370	5.67020	108.96279
4.66589	6.13727	59.43682
1.24505	5.60553	32.97792
9.81302	4.70633	118.43779
9.09616	6.32262	122.72317
6.44511	6.40872	82.62025
